Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
18101;Championnet.;OUI;22;17;4;1;3;OUI;OUI;2025-10-18T18:38:09+02:00;48.8953643, 2.3498166;Paris;75056;
15044;Dantzig - Lefebvre;OUI;33;31;0;0;0;OUI;OUI;2025-10-18T18:37:25+02:00;48.83013921586756, 2.295934036374092;Paris;75056;
20005;Reynaldo Hahn - Lagny;OUI;19;13;4;3;1;OUI;OUI;2025-10-18T18:34:19+02:00;48.849266043601794, 2.412330328844772;Paris;75056;
20106;Mairie du 20ème;OUI;27;25;2;1;1;OUI;OUI;2025-10-18T18:38:07+02:00;48.865302324275, 2.3990669846535;Paris;75056;
11016;Philippe-Auguste;OUI;48;41;4;1;3;OUI;OUI;2025-10-18T18:40:07+02:00;48.851853488265, 2.3932945355773;Paris;75056;
6005;Montparnasse -  Square Ozanam;OUI;49;16;30;15;15;OUI;OUI;2025-10-18T18:36:13+02:00;48.843310567822, 2.3265242949128;Paris;75056;
12122;Bois de Vincennes - Polygone;OUI;51;46;3;0;3;OUI;OUI;2025-10-18T18:39:59+02:00;48.83544491617421, 2.431421081436563;Paris;75056;
19007;Flandre - Ourcq;OUI;30;23;6;2;4;OUI;OUI;2025-10-18T18:37:59+02:00;48.89260159189023, 2.3790915682911873;Paris;75056;
6004;Regard - Rennes;OUI;46;29;16;10;6;OUI;OUI;2025-10-18T18:40:26+02:00;48.847385404956, 2.3268555477262;Paris;75056;
5105;Geoffroy-Saint-Hilaire - Saint-Marcel;OUI;17;7;8;2;6;OUI;OUI;2025-10-18T18:40:26+02:00;48.83907826424974, 2.356877340669728;Paris;75056;
15014;Volontaires - Vaugirard;OUI;34;18;16;15;1;OUI;OUI;2025-10-18T18:38:55+02:00;48.84132050184004, 2.30808901725357;Paris;75056;
19123;Metz - Marne;OUI;33;26;4;0;4;OUI;OUI;2025-10-18T18:40:25+02:00;48.891163, 2.3865705;Paris;75056;
11028;Guillaume Bertrand - République;OUI;38;21;16;9;7;OUI;OUI;2025-10-18T18:40:20+02:00;48.863825174341, 2.380906377155;Paris;75056;
22007;Commandant Charcot - Bretteville;OUI;36;24;12;12;0;OUI;OUI;2025-10-18T18:39:56+02:00;48.87530570765423, 2.2558460757136345;Neuilly-sur-Seine;92051;
13055;M.- A. Lagroua Weill-Hallé -  F. Dolto;OUI;74;50;24;24;0;OUI;OUI;2025-10-18T18:40:28+02:00;48.828595283857425, 2.380220606266108;Paris;75056;
13037;Ivry - Baudricourt;OUI;20;13;7;6;1;OUI;OUI;2025-10-18T18:32:16+02:00;48.824695995415006, 2.363106073577468;Paris;75056;
22014;Victor Hugo - Bineau;OUI;25;16;8;5;3;OUI;OUI;2025-10-18T18:39:56+02:00;48.88758225888669, 2.2783890366554265;Neuilly-sur-Seine;92051;
12017;Saint-Mandé - Docteur Arnold Netter;OUI;53;47;4;3;1;OUI;OUI;2025-10-18T18:38:16+02:00;48.84462585769668, 2.404946386814118;Paris;75056;
21027;Fief - République;OUI;25;23;0;0;0;OUI;OUI;2025-10-18T18:35:57+02:00;48.83170888166024, 2.255771979689598;Boulogne-Billancourt;92012;
14025;Jacquier - Didot;OUI;30;28;1;0;1;OUI;OUI;2025-10-18T18:38:38+02:00;48.82953336292279, 2.318179272115231;Paris;75056;
28002;De Gaulle - Moulin;OUI;23;18;5;2;3;OUI;OUI;2025-10-18T18:33:06+02:00;48.885816808239, 2.229607694148;Puteaux;92062;
42027;Verdun - Pierre et Marie Curie;OUI;26;25;1;0;1;OUI;OUI;2025-10-18T18:40:40+02:00;48.812822398263286, 2.3707106709480286;Ivry-sur-Seine;94041;
25002;Hôtel de Ville de Rueil-Malmaison;OUI;20;10;7;4;3;OUI;OUI;2025-10-18T18:39:02+02:00;48.878194, 2.181724;Rueil-Malmaison;92063;
