Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
16107;Benjamin Godard - Victor Hugo;OUI;35;29;5;1;4;OUI;OUI;2025-10-18T18:37:02+02:00;48.865983, 2.275725;Paris;75056;
32304;Charcot - Benfleet;OUI;28;25;1;0;1;OUI;OUI;2025-10-18T18:38:01+02:00;48.878370277021, 2.440523876268;Romainville;93063;
40001;Hôpital Mondor;OUI;28;9;18;10;8;OUI;OUI;2025-10-18T18:40:10+02:00;48.798922410229, 2.4537451531298;Créteil;94028;
14111;Cassini - Denfert-Rochereau;OUI;25;21;2;1;1;OUI;OUI;2025-10-18T18:39:09+02:00;48.837525839067, 2.3360354080796;Paris;75056;
9020;Toudouze - Clauzel;OUI;21;18;3;1;2;OUI;OUI;2025-10-18T18:36:44+02:00;48.87929591733507, 2.3373600840568547;Paris;75056;
14014;Jourdan - Stade Charléty;OUI;60;47;10;6;4;OUI;OUI;2025-10-18T18:40:14+02:00;48.819428333369, 2.3433353751898;Paris;75056;
11104;Charonne - Robert et Sonia Delaunay;OUI;20;13;6;4;2;OUI;OUI;2025-10-18T18:36:39+02:00;48.855907555969, 2.3925706744194;Paris;75056;
32017;Basilique;OUI;22;12;7;3;4;OUI;OUI;2025-10-18T18:38:12+02:00;48.93626891059109, 2.3588666820200914;Saint-Denis;93066;
8026;Messine - Place Du Pérou;OUI;12;8;4;3;1;OUI;OUI;2025-10-18T18:37:36+02:00;48.875448033960744, 2.315508019010038;Paris;75056;
6003;Saint-Sulpice;OUI;21;3;18;9;9;OUI;OUI;2025-10-18T18:39:58+02:00;48.85165383178419, 2.3308077827095985;Paris;75056;
7002;Vaneau - Sèvres;OUI;35;28;6;2;4;OUI;OUI;2025-10-18T18:38:33+02:00;48.848563233059, 2.3204218259346;Paris;75056;
5110;Lacépède - Monge;OUI;23;15;7;2;5;OUI;OUI;2025-10-18T18:33:10+02:00;48.84389286531899, 2.3519663885235786;Paris;75056;
40011;Bas du Mont-Mesly;OUI;27;17;10;6;4;OUI;OUI;2025-10-18T18:40:23+02:00;48.779035118572, 2.4609763908985;Créteil;94028;
6108;Saint-Romain - Cherche-Midi;OUI;17;15;1;1;0;OUI;OUI;2025-10-18T18:39:25+02:00;48.84708159081946, 2.321374788880348;Paris;75056;
21010;Silly - Galliéni;OUI;25;9;15;15;0;OUI;OUI;2025-10-18T18:40:40+02:00;48.835583838706, 2.2325500845909;Boulogne-Billancourt;92012;
33006;André Karman - République;OUI;31;27;1;0;1;OUI;OUI;2025-10-18T18:39:19+02:00;48.91039875761846, 2.3851355910301213;Aubervilliers;93001;
25006;Place Nelson Mandela;OUI;22;21;0;0;0;OUI;OUI;2025-10-18T18:40:39+02:00;48.862453313908, 2.1961666225454;Rueil-Malmaison;92063;
42016;Pierre et Marie Curie - Maurice Thorez;OUI;27;20;5;4;1;OUI;OUI;2025-10-18T18:38:56+02:00;48.81580226360801, 2.376804985105991;Ivry-sur-Seine;94041;
30002;Jean Rostand - Paul Vaillant Couturier;OUI;40;23;15;9;6;OUI;OUI;2025-10-18T18:38:56+02:00;48.908168131015, 2.4530601033354;Bobigny;93008;
17041;Guersant - Gouvion-Saint-Cyr;OUI;36;23;9;6;3;OUI;OUI;2025-10-18T18:39:54+02:00;48.88287775178599, 2.287667370814871;Paris;75056;
7003;Square Boucicaut;OUI;60;54;5;4;1;OUI;OUI;2025-10-18T18:35:59+02:00;48.851296433665276, 2.325061820447445;Paris;75056;
11025;Froment - Bréguet;OUI;43;1;37;28;9;OUI;OUI;2025-10-18T18:38:49+02:00;48.8570414504784, 2.37289470306807;Paris;75056;
15047;Morillons - Dantzig;OUI;52;44;7;2;5;OUI;OUI;2025-10-18T18:37:55+02:00;48.83310149953933, 2.299380004405976;Paris;75056;
12109;Mairie du 12ème;OUI;30;23;6;2;4;OUI;OUI;2025-10-18T18:40:24+02:00;48.840855311763, 2.3875549435616;Paris;75056;
17026;Jouffroy d'Abbans - Wagram;OUI;40;31;9;3;6;OUI;OUI;2025-10-18T18:40:14+02:00;48.881973298352, 2.301132157445;Paris;75056;
6021;Beaux-Arts - Bonaparte;OUI;20;4;15;11;4;OUI;OUI;2025-10-18T18:34:30+02:00;48.856451985396, 2.3348518833518;Paris;75056;
5016;Thouin - Cardinal Lemoine;OUI;17;13;4;0;4;OUI;OUI;2025-10-18T18:39:34+02:00;48.845047166615, 2.3494647851273;Paris;75056;
15202;Bracion - Périphérique;OUI;30;22;6;4;2;OUI;OUI;2025-10-18T18:31:21+02:00;48.826103771275, 2.3004549373748;Paris;75056;
8050;Boétie - Ponthieu;OUI;45;33;11;5;6;OUI;OUI;2025-10-18T18:38:58+02:00;48.871417284355, 2.3076787590981;Paris;75056;
13007;Le Brun - Gobelins;OUI;48;45;2;0;2;OUI;OUI;2025-10-18T18:35:08+02:00;48.835092787824, 2.3534681351338;Paris;75056;
13101;Croulebarde - Corvisart;OUI;34;27;7;3;4;OUI;OUI;2025-10-18T18:38:06+02:00;48.830981659316855, 2.3481646925210953;Paris;75056;
42208;Place des Marseillais;OUI;35;24;11;8;3;OUI;OUI;2025-10-18T18:34:46+02:00;48.826605522232, 2.4059119927899;Charenton-le-Pont;94018;
21108;Mairie de Clichy;OUI;51;22;25;23;2;OUI;OUI;2025-10-18T18:40:12+02:00;48.903653634661, 2.3059353232384;Clichy;92024;
14108;Le Brix et Mesmin - Jourdan;OUI;21;14;4;3;1;OUI;OUI;2025-10-18T18:40:29+02:00;48.82234096593411, 2.327861653302471;Paris;75056;
2022;Saint-Fiacre - Poissonière;OUI;35;26;7;5;2;OUI;OUI;2025-10-18T18:39:26+02:00;48.870828911558, 2.3459213599563;Paris;75056;
31024;Romainville - Vaillant-Couturier;OUI;38;37;1;0;1;OUI;OUI;2025-10-18T18:34:02+02:00;48.86785, 2.446748;Montreuil;93048;
19033;Cambrai - Benjamin Constant;OUI;43;41;0;0;0;OUI;OUI;2025-10-18T18:36:13+02:00;48.89594736851349, 2.381133802246315;Paris;75056;
17044;Porte de Saint-Ouen - Bessières;OUI;42;37;5;4;1;OUI;OUI;2025-10-18T18:40:07+02:00;48.89792240854517, 2.32851451022192;Paris;75056;
21326;Moulin de Pierre - Abbé Grégoire;OUI;20;17;2;0;2;OUI;OUI;2025-10-18T18:31:22+02:00;48.822036188382, 2.2754641655975;Issy-les-Moulineaux;92040;
17025;Chazelles - Courcelles;OUI;35;30;3;2;1;OUI;OUI;2025-10-18T18:39:02+02:00;48.879406604954, 2.3034455627202988;Paris;75056;
20143;Ramponeau - Belleville;OUI;44;33;10;5;5;OUI;OUI;2025-10-18T18:39:08+02:00;48.871031137596, 2.379056852114;Paris;75056;
16138;Saint-Cloud - Hippodrome;OUI;30;24;3;3;0;OUI;OUI;2025-10-18T18:37:19+02:00;48.85772148887421, 2.2549109905958176;Paris;75056;
43002;Lagny - Victor Basch;OUI;26;19;4;1;3;OUI;OUI;2025-10-18T18:39:46+02:00;48.84884147189881, 2.426325418925233;Vincennes;94080;
21216;Louis Lejeune - Barbès;OUI;25;25;0;0;0;OUI;OUI;2025-10-18T18:31:29+02:00;48.81807418981508, 2.3267009854316716;Montrouge;92049;
15068;Général Martial Valin - Pont du Garigliano;OUI;16;10;5;3;2;OUI;OUI;2025-10-18T18:37:03+02:00;48.83823094269141, 2.270506024360657;Paris;75056;
44010;8 Mai 1945 - 10 Juillet 1940;OUI;30;16;12;12;0;OUI;OUI;2025-10-18T18:40:19+02:00;48.784567029674, 2.3979035764933;Vitry-sur-Seine;94081;
22207;Rond-point du Dr Albert Schweitzer;OUI;22;13;9;3;6;OUI;OUI;2025-10-18T18:38:31+02:00;48.78980918988166, 2.3143940046429634;Bagneux;92007;
16118;Michel-Ange - Parent de Rosan;OUI;26;19;5;1;4;OUI;OUI;2025-10-18T18:40:28+02:00;48.840579923690115, 2.2584119439125065;Paris;75056;
92002;Théâtre des Amandiers - Palais des sports;OUI;23;16;4;2;2;OUI;OUI;2025-10-18T18:38:48+02:00;48.892648526839, 2.2136941552162;Nanterre;92050;
2017;Caire - Dussoubs;OUI;40;11;29;18;11;OUI;OUI;2025-10-18T18:40:26+02:00;48.86785342111862, 2.349364310503006;Paris;75056;
31028;Raspail Barbès;OUI;28;25;2;0;2;OUI;OUI;2025-10-18T18:38:29+02:00;48.8529945, 2.4247387;Montreuil;93048;
14013;Liard - Amiral Mouchez;OUI;28;23;4;1;3;OUI;OUI;2025-10-18T18:37:30+02:00;48.8214169, 2.342167;Paris;75056;
17048;De Toqueville - Terrasse;OUI;30;23;5;4;1;OUI;OUI;2025-10-18T18:37:40+02:00;48.882428, 2.314002;Paris;75056;
13030;Italie - Tolbiac;OUI;21;10;5;2;3;OUI;OUI;2025-10-18T18:37:52+02:00;48.82557229464416, 2.3576171323657036;Paris;75056;
44017;Jules Guesde - Pont du Port à l'Anglais;OUI;30;7;22;13;9;OUI;OUI;2025-10-18T18:39:04+02:00;48.79628807093802, 2.417212128639221;Vitry-sur-Seine;94081;
40016;Sarrazins - Saussure;OUI;22;6;16;8;8;OUI;OUI;2025-10-18T18:39:48+02:00;48.769626617432, 2.4717841148376;Créteil;94028;
9008;Tour d'Auvergne - Rodier;OUI;17;15;2;0;2;OUI;OUI;2025-10-18T18:40:33+02:00;48.879161, 2.343698;Paris;75056;
18111;Félix Ziem - Armand Gauthier;OUI;25;22;2;0;2;OUI;OUI;2025-10-18T18:38:48+02:00;48.88949630486821, 2.333393658804396;Paris;75056;
8103;Artois - Berri;OUI;37;28;6;5;1;OUI;OUI;2025-10-18T18:38:59+02:00;48.87393521240818, 2.3064258322119713;Paris;75056;
16110;Octave Feuillet - Albéric Magnard;OUI;21;13;8;6;2;OUI;OUI;2025-10-18T18:38:35+02:00;48.86106902949534, 2.2730283066630363;Paris;75056;
8048;Marceau - Chaillot;OUI;21;18;3;1;2;OUI;OUI;2025-10-18T18:33:29+02:00;48.868834023334, 2.2986030816809;Paris;75056;
8016;Square Louis XVI;OUI;29;5;23;18;5;OUI;OUI;2025-10-18T18:40:37+02:00;48.87320440102894, 2.323658830743138;Paris;75056;
13118;Regnault - Patay;OUI;63;18;45;42;3;OUI;OUI;2025-10-18T18:39:44+02:00;48.82435782216384, 2.377065159380436;Paris;75056;
10161;Gare de l'Est - Faubourg-Saint-Martin;OUI;32;23;6;3;3;OUI;OUI;2025-10-18T18:39:49+02:00;48.875642647477, 2.3594588041306;Paris;75056;
15112;Vigée-Lebrun - Anselme Payen;OUI;24;22;2;2;0;OUI;OUI;2025-10-18T18:31:05+02:00;48.838683941628375, 2.3110422492027287;Paris;75056;
9038;Douai - Bruxelles;OUI;27;18;5;0;5;OUI;OUI;2025-10-18T18:35:21+02:00;48.88320784122797, 2.3308449949028507;Paris;75056;
9002;Abbeville - Faubourg Poissonnière;OUI;14;10;3;0;3;OUI;OUI;2025-10-18T18:40:05+02:00;48.879223, 2.349147;Paris;75056;
8009;Gare Saint-Lazare - Isly;OUI;27;1;25;21;4;OUI;OUI;2025-10-18T18:40:00+02:00;48.874777677621296, 2.326515804784655;Paris;75056;
48003;Youri Gagarine - Karl Marx;OUI;22;17;4;1;3;OUI;OUI;2025-10-18T18:35:17+02:00;48.78448485079149, 2.35908430069685;Villejuif;94076;
31103;Gare Rosny-Bois-Perrier;OUI;35;21;12;6;6;OUI;OUI;2025-10-18T18:36:01+02:00;48.88115023337061, 2.480436824262142;Rosny-sous-Bois;93064;
44015;Rouget de L'isle - Watteau;OUI;20;6;14;8;6;OUI;OUI;2025-10-18T18:40:41+02:00;48.778192750803, 2.3963020229163;Vitry-sur-Seine;94081;
17008;Porte Pouchet-Bessières;OUI;23;16;5;2;3;OUI;OUI;2025-10-18T18:38:30+02:00;48.8978765, 2.3230632;Paris;75056;
43009;Place Jean-Spire-Lemaître;OUI;50;32;15;7;8;OUI;OUI;2025-10-18T18:38:48+02:00;48.8468428626593, 2.452062070369721;Vincennes;94080;
7018;Ségur - d'Estrées;OUI;19;1;17;11;6;OUI;OUI;2025-10-18T18:39:54+02:00;48.851419978983, 2.3097044974566;Paris;75056;
9001;Bellefond - Poissonnière;OUI;17;11;4;1;3;OUI;OUI;2025-10-18T18:39:57+02:00;48.87759897050706, 2.348463758826256;Paris;75056;
21323;Charlot - Stade Gabriel Voisin;OUI;31;22;8;5;3;OUI;OUI;2025-10-18T18:34:33+02:00;48.827228120536, 2.268122527474;Issy-les-Moulineaux;92040;
17032;Jean Oestreicher - Porte de Champerret;OUI;21;16;4;4;0;OUI;OUI;2025-10-18T18:36:08+02:00;48.88655580065981, 2.288640439510346;Paris;75056;
8053;Place Georges Guillaumin;OUI;29;17;11;7;4;OUI;OUI;2025-10-18T18:33:53+02:00;48.874750203957, 2.301771435326;Paris;75056;
10115;Granges aux Belles;OUI;27;21;6;3;3;OUI;OUI;2025-10-18T18:37:49+02:00;48.8761373390584, 2.3680844979417;Paris;75056;
9014;Faubourg Montmartre - La Fayette;OUI;35;25;4;2;2;OUI;OUI;2025-10-18T18:39:56+02:00;48.875254549053, 2.3408536612988;Paris;75056;
10029;Dunkerque - Rocroy;OUI;24;21;1;0;1;OUI;OUI;2025-10-18T18:39:29+02:00;48.880726, 2.351464;Paris;75056;
51006;Lieutenant Colonel Prudhon - Repos;OUI;1;1;0;0;0;NON;NON;2024-04-25T15:51:24+02:00;48.946800700149, 2.2380727982588;Argenteuil;95018;
41303;Gare de Nogent-le-Perreux;OUI;32;3;28;18;10;OUI;OUI;2025-10-18T18:38:09+02:00;48.83842553348809, 2.493693307042122;Nogent-sur-Marne;94052;
9022;Rossini - Laffitte;OUI;33;28;4;3;1;OUI;OUI;2025-10-18T18:40:11+02:00;48.87334627510507, 2.337980867701675;Paris;75056;
12031;Gabriel Lamé;OUI;36;0;32;31;1;OUI;OUI;2025-10-18T18:39:26+02:00;48.8351212784276, 2.385534569621086;Paris;75056;
17004;Legendre - Clichy;OUI;40;32;5;0;5;OUI;OUI;2025-10-18T18:40:38+02:00;48.88896161855884, 2.322528975094376;Paris;75056;
1001;Quai de l'Horloge - Pont Neuf;OUI;17;3;11;9;2;OUI;OUI;2025-10-18T18:39:25+02:00;48.857058739111, 2.3417982839439;Paris;75056;
16202;Commandant Schloesing - Pétrarque;OUI;30;30;0;0;0;NON;NON;2025-05-23T17:36:48+02:00;48.861773096259, 2.2838841134601;Paris;75056;
5022;Boulangers - Cardinal Lemoine;OUI;20;12;6;6;0;OUI;OUI;2025-10-18T18:39:46+02:00;48.8462904, 2.3521495;Paris;75056;
92007;Pesaro - Préfecture;OUI;22;15;7;0;7;OUI;OUI;2025-10-18T18:37:01+02:00;48.89577046284005, 2.223908342421055;Nanterre;92050;
21328;Verger - Colonel Guichard;OUI;29;27;2;0;2;OUI;OUI;2025-10-18T18:33:10+02:00;48.816376985087, 2.2670380088932;Issy-les-Moulineaux;92040;
10107;Gare du Nord - Hôpital Lariboisière;OUI;49;44;3;0;3;OUI;OUI;2025-10-18T18:35:21+02:00;48.881949, 2.352339;Paris;75056;
13104;Gare d'Austerlitz - Quai Saint-Bernard;OUI;27;0;25;22;3;OUI;OUI;2025-10-18T18:35:53+02:00;48.84369030864, 2.3657163977623;Paris;75056;
26002;Redoute - Les Courtilles;OUI;40;4;34;29;5;OUI;OUI;2025-10-18T18:38:33+02:00;48.929867194519, 2.2836696356535;Asnières-sur-Seine;92004;
5005;Gay Lussac - Saint-Jacques;OUI;42;40;1;0;1;OUI;OUI;2025-10-18T18:37:53+02:00;48.844730256132, 2.3419239448664;Paris;75056;
17043;Belidor - Gouvion-Saint-Cyr;OUI;39;28;9;5;4;OUI;OUI;2025-10-18T18:38:28+02:00;48.88022154052015, 2.2854680567979813;Paris;75056;
19207;Jean Jaurès - Bouret;OUI;32;29;1;0;1;OUI;OUI;2025-10-18T18:38:59+02:00;48.883144703938, 2.3712364995651;Paris;75056;
19026;Place de Rhin et Danube;OUI;17;13;1;0;1;OUI;OUI;2025-10-18T18:38:38+02:00;48.88192765861766, 2.392586767673493;Paris;75056;
9106;Boudreau - Auber;OUI;28;14;12;10;2;OUI;OUI;2025-10-18T18:38:47+02:00;48.87219, 2.329423;Paris;75056;
16039;Exelmans - Versailles;OUI;49;15;32;22;10;OUI;OUI;2025-10-18T18:39:12+02:00;48.84097491091973, 2.264390252530575;Paris;75056;
19105;Ambroise Rendu - Porte Brunet;OUI;17;13;2;0;2;OUI;OUI;2025-10-18T18:39:59+02:00;48.883667, 2.395733;Paris;75056;
11023;Saint-Maur - Roquette;OUI;46;40;4;1;3;OUI;OUI;2025-10-18T18:30:38+02:00;48.858688774062955, 2.383553994571467;Paris;75056;
31706;Château - République;OUI;26;20;6;2;4;OUI;OUI;2025-10-18T18:39:48+02:00;48.862923800596, 2.4155035614967;Bagnolet;93006;
45003;11 Novembre 1918 - 8 Mai 1945;OUI;36;33;3;0;3;OUI;OUI;2025-10-18T18:37:18+02:00;48.80889533774377, 2.5382421165704727;Champigny-sur-Marne;94017;
22409;Henri Barbusse - Stalingrad;OUI;16;14;1;0;1;OUI;OUI;2025-10-18T18:34:01+02:00;48.814183748660554, 2.2872862592339516;Malakoff;92046;
11002;Roquette - Thiéré;OUI;23;0;21;16;5;OUI;OUI;2025-10-18T18:39:08+02:00;48.85507930579506, 2.3733686318721463;Paris;75056;
19015;Thionville - Ourcq;OUI;24;16;6;0;6;OUI;OUI;2025-10-18T18:39:55+02:00;48.88917613743794, 2.3833653330802917;Paris;75056;
18107;Chartres - La Charbonnière;OUI;34;32;0;0;0;OUI;OUI;2025-10-18T18:38:14+02:00;48.8847601, 2.3534657;Paris;75056;
19003;Quai de la Seine;OUI;24;17;6;2;4;OUI;OUI;2025-10-18T18:38:05+02:00;48.884492238407525, 2.3703941702842717;Paris;75056;
16108;Sablons - Georges Mandel;OUI;38;30;8;6;2;OUI;OUI;2025-10-18T18:39:28+02:00;48.863875, 2.28189;Paris;75056;
26003;Argenteuil - Voltaire;OUI;16;3;10;7;3;OUI;OUI;2025-10-18T18:40:16+02:00;48.918648659556, 2.281411215663;Asnières-sur-Seine;92004;
17030;Pereire - Rennequin;OUI;23;18;3;3;0;OUI;OUI;2025-10-18T18:37:48+02:00;48.88364782887555, 2.2952447086572647;Paris;75056;
12151;Gare de Lyon - Place Louis Armand;OUI;60;26;33;19;14;OUI;OUI;2025-10-18T18:40:23+02:00;48.845515089794, 2.3726498446286;Paris;75056;
6006;Notre-Dame-des-Champs - Stanislas;OUI;19;15;3;2;1;OUI;OUI;2025-10-18T18:38:57+02:00;48.84479928858768, 2.329337755887181;Paris;75056;
16026;Ranelagh - Mozart;OUI;23;15;6;4;2;OUI;OUI;2025-10-18T18:38:55+02:00;48.8554439, 2.2704418;Paris;75056;
12128;Pyramide - Ecole du Breuil;OUI;34;32;1;0;1;OUI;OUI;2025-10-18T18:32:59+02:00;48.82237977153955, 2.4586871266365056;Paris;75056;
9028;Moncey - Blanche;OUI;17;8;7;0;7;OUI;OUI;2025-10-18T18:38:48+02:00;48.88006587474148, 2.3310810327529907;Paris;75056;
8010;Liège - Moscou;OUI;17;11;6;6;0;OUI;OUI;2025-10-18T18:36:46+02:00;48.8795431, 2.3264628;Paris;75056;
12111;Claude Decaen - Cannebière;OUI;45;35;9;5;4;OUI;OUI;2025-10-18T18:34:54+02:00;48.83761417037952, 2.397253782195704;Paris;75056;
31022;Mairie de Montreuil;OUI;52;40;10;4;6;OUI;OUI;2025-10-18T18:33:20+02:00;48.86131452758348, 2.440614402294159;Montreuil;93048;
8034;Berri - Haussmann;OUI;49;42;6;6;0;OUI;OUI;2025-10-18T18:38:30+02:00;48.874746047357135, 2.3082953318953514;Paris;75056;
46002;Rouget de Lisle;OUI;35;2;31;23;8;OUI;OUI;2025-10-18T18:38:02+02:00;48.764615483395254, 2.4071189761161804;Choisy-le-Roi;94022;
11047;Amelot - Saint-Sébastien;OUI;30;2;28;22;6;OUI;OUI;2025-10-18T18:39:47+02:00;48.861142162761, 2.3677996181077;Paris;75056;
10016;Récollets - Square Villemin;OUI;17;12;5;3;2;OUI;OUI;2025-10-18T18:40:01+02:00;48.875034655883944, 2.359801238597928;Paris;75056;
19043;Delphine Seyrig - Général Leclerc;OUI;53;39;10;1;9;OUI;OUI;2025-10-18T18:40:33+02:00;48.893923963057865, 2.39790290594101;Pantin;93055;
41302;Charles de Gaulle - Beauté;OUI;49;36;13;10;3;OUI;OUI;2025-10-18T18:39:25+02:00;48.83649602312711, 2.479562651149885;Nogent-sur-Marne;94052;
5032;Panthéon - Valette;OUI;51;42;5;2;3;OUI;OUI;2025-10-18T18:40:36+02:00;48.847020571652, 2.3464982619671;Paris;75056;
33017;Anatole France - President Roosevelt;OUI;29;14;9;8;1;OUI;OUI;2025-10-18T18:40:36+02:00;48.9155156, 2.3814103;Aubervilliers;93001;
15067;Desaix - Edgar Faure;OUI;12;6;5;4;1;OUI;OUI;2025-10-18T18:39:41+02:00;48.852804604940296, 2.293077029857222;Paris;75056;
18011;Pajol - Place Herbert;OUI;39;30;8;5;3;OUI;OUI;2025-10-18T18:39:50+02:00;48.8927825, 2.3635598;Paris;75056;
11027;Saint-Ambroise - Parmentier;OUI;38;29;8;6;2;OUI;OUI;2025-10-18T18:39:50+02:00;48.862147844548, 2.3772348091006;Paris;75056;
33102;Gabriel Péri - Francisco Ferrer;OUI;18;11;4;1;3;OUI;OUI;2025-10-18T18:37:34+02:00;48.88633710236977, 2.407338917255402;Le Pré-Saint-Gervais;93061;
31009;Place Du Général De Gaulle;OUI;26;25;0;0;0;OUI;OUI;2025-10-18T18:39:21+02:00;48.8687591, 2.4329931;Montreuil;93048;
19120;Carducci - Place Hannah Arendt;OUI;27;23;2;0;2;OUI;OUI;2025-10-18T18:40:11+02:00;48.877436681515796, 2.3860743641853337;Paris;75056;
14020;Cimetière de Montrouge;OUI;58;54;4;3;1;OUI;OUI;2025-10-18T18:34:55+02:00;48.821466904768, 2.3215785772007;Paris;75056;
11113;Richard Lenoir - Republique;OUI;58;21;35;30;5;OUI;OUI;2025-10-18T18:38:42+02:00;48.8667175, 2.3692541;Paris;75056;
15042;Henry Farman;OUI;16;2;13;11;2;OUI;OUI;2025-10-18T18:40:14+02:00;48.83372430280548, 2.2713854536414146;Paris;75056;
5018;Mutualité;OUI;37;5;30;27;3;OUI;OUI;2025-10-18T18:40:36+02:00;48.848225572724, 2.3502873256803;Paris;75056;
42706;Roger Salengro - Fontainebleau;OUI;25;23;2;1;1;OUI;OUI;2025-10-18T18:39:41+02:00;48.814548697325, 2.3611663654447;Le Kremlin-Bicêtre;94043;
19101;Square Simon Bolivar;OUI;24;22;1;1;0;OUI;OUI;2025-10-18T18:39:53+02:00;48.875089888322, 2.3826304078102;Paris;75056;
21212;Marne - Germain Dardan;OUI;22;21;1;0;1;OUI;OUI;2025-10-18T18:38:54+02:00;48.81217465201, 2.3035024699104;Montrouge;92049;
17204;Paul Bodin - Clichy;OUI;33;24;6;6;0;OUI;OUI;2025-10-18T18:36:32+02:00;48.892594758409, 2.3171403311203;Paris;75056;
44006;Concorde - Stalingrad;OUI;35;19;14;9;5;OUI;OUI;2025-10-18T18:37:37+02:00;48.7985844, 2.3821302;Vitry-sur-Seine;94081;
4016;Lobau - Hôtel de Ville;OUI;60;3;50;36;14;OUI;OUI;2025-10-18T18:40:36+02:00;48.8562118, 2.3532536;Paris;75056;
20042;Pyrénées - Emmery;OUI;40;36;2;1;1;OUI;OUI;2025-10-18T18:39:44+02:00;48.87202880542, 2.3918598091484;Paris;75056;
14138;Porte de Vanves;OUI;32;30;2;1;1;OUI;OUI;2025-10-18T18:39:20+02:00;48.828012849445, 2.3056878894567;Paris;75056;
15104;Hôpital Européen Georges Pompidou;OUI;78;48;30;29;1;OUI;OUI;2025-10-18T18:40:32+02:00;48.837695319163, 2.2753742337227;Paris;75056;
12114;Victor Hugo - Jeanne Jugan;OUI;28;25;2;1;1;OUI;OUI;2025-10-18T18:40:28+02:00;48.843949064031825, 2.415081394834419;Paris;75056;
14003;Schoelcher - Raspail;OUI;50;47;3;2;1;OUI;OUI;2025-10-18T18:37:33+02:00;48.83681733526843, 2.3312794080411474;Paris;75056;
21312;Lucie Aubrac - Fort;OUI;30;27;1;0;1;OUI;OUI;2025-10-18T18:40:18+02:00;48.818144834008976, 2.271184623241425;Issy-les-Moulineaux;92040;
43008;Fontenay - Libération;OUI;25;16;5;3;2;OUI;OUI;2025-10-18T18:40:38+02:00;48.847803063647, 2.4451419711113;Vincennes;94080;
14008;Mouton Duvernet - Général Leclerc;OUI;28;24;3;0;3;OUI;OUI;2025-10-18T18:40:31+02:00;48.831632518293, 2.3293121159077;Paris;75056;
41209;Cimetière de Fontenay-sous-Bois;OUI;15;14;0;0;0;OUI;OUI;2025-10-18T18:35:09+02:00;48.84706173362218, 2.4787822365760808;Fontenay-sous-Bois;94033;
21021;Enfants du Paradis - Peupliers;OUI;40;32;6;3;3;OUI;OUI;2025-10-18T18:40:08+02:00;48.833122686454, 2.2571459412575;Boulogne-Billancourt;92012;
8017;Rocher - Laborde;OUI;65;51;14;8;6;OUI;OUI;2025-10-18T18:39:59+02:00;48.87590240712654, 2.322616316378116;Paris;75056;
15054;Lecourbe - Jean Maridor;OUI;19;9;10;8;2;OUI;OUI;2025-10-18T18:39:30+02:00;48.83796366147599, 2.2877392172813416;Paris;75056;
15106;Grenelle - Violet;OUI;35;29;6;3;3;OUI;OUI;2025-10-18T18:38:02+02:00;48.84993035512154, 2.294612042605877;Paris;75056;
22406;Guy Môquet - Etienne Dolet;OUI;23;19;3;0;3;OUI;OUI;2025-10-18T18:40:28+02:00;48.81527009991819, 2.298078276995073;Malakoff;92046;
5124;Erasme - Ulm;OUI;24;22;2;0;2;OUI;OUI;2025-10-18T18:37:32+02:00;48.84264375274712, 2.3445946723222733;Paris;75056;
31102;Boissière - Etienne Dolet;OUI;21;17;1;0;1;OUI;OUI;2025-10-18T18:37:12+02:00;48.876111, 2.4677312;Montreuil;93048;
14106;Marc Sangnier - Porte de Vanves;OUI;21;19;2;1;1;OUI;OUI;2025-10-18T18:31:30+02:00;48.825218683556734, 2.3107116669416428;Paris;75056;
8054;Bertie Albrecht - Hoche;OUI;32;26;6;0;6;OUI;OUI;2025-10-18T18:35:37+02:00;48.87614039826388, 2.301303138307601;Paris;75056;
18046;Etienne Jodelle - Saint Ouen;OUI;33;25;6;0;6;OUI;OUI;2025-10-18T18:35:57+02:00;48.88794016394694, 2.326124420314341;Paris;75056;
15109;Cevennes - Bergers;OUI;29;4;25;24;1;OUI;OUI;2025-10-18T18:40:07+02:00;48.84240765130395, 2.281037718057633;Paris;75056;
5203;Victor Cousin - Cujas;OUI;0;0;0;0;0;NON;NON;2025-09-18T13:22:09+02:00;48.847909849567, 2.3424898070094;Paris;75056;
10042;Enghien - Faubourg Poissonnière;OUI;33;15;14;8;6;OUI;OUI;2025-10-18T18:40:26+02:00;48.872420063053, 2.3483952362828;Paris;75056;
2111;Chabanais - Petits Champs;OUI;30;16;13;12;1;OUI;OUI;2025-10-18T18:39:46+02:00;48.86703740186721, 2.336716018617153;Paris;75056;
17203;Place de la Porte de Champeret;OUI;28;18;10;9;1;OUI;OUI;2025-10-18T18:39:22+02:00;48.886062068226, 2.2917001576821;Paris;75056;
18022;Marcadet - Barbès;OUI;37;30;4;0;4;OUI;OUI;2025-10-18T18:40:03+02:00;48.890451120965, 2.3490573929687;Paris;75056;
